tick,death_rate,cdi,hazard_rate,extinction_probability,extinction_events
132,0.000666,0.000037,0.003999,0.003991,0
133,0.000000,0.000039,0.003999,0.003991,0
134,0.000000,0.000039,0.003999,0.003991,0
135,0.000000,0.000038,0.003999,0.003991,0
136,0.000000,0.000037,0.003999,0.003991,0
137,0.000000,0.000037,0.003999,0.003991,0
138,0.000000,0.000037,0.003999,0.003991,0
139,0.000000,0.000052,0.003999,0.003991,0
140,0.000000,0.000058,0.003999,0.003991,0
141,0.000333,0.000057,0.003999,0.003991,0
142,0.000333,0.000039,0.003999,0.003991,0
143,0.000000,0.000054,0.003999,0.003991,0
144,0.000000,0.000058,0.003999,0.003991,0
145,0.000333,0.000040,0.003999,0.003991,0
146,0.000333,0.000039,0.003999,0.003991,0
147,0.000333,0.000039,0.003999,0.003991,0
148,0.000000,0.000020,0.004000,0.003992,0
149,0.000000,0.000038,0.003999,0.003991,0
150,0.000000,0.000019,0.004000,0.003992,0
151,0.000333,0.000018,0.004000,0.003992,0
152,0.000333,0.000018,0.004000,0.003992,0
153,0.000000,0.000035,0.003999,0.003991,0
154,0.000000,0.000037,0.003999,0.003991,0
155,0.000333,0.000059,0.003999,0.003991,0
156,0.000000,0.000038,0.003999,0.003991,0
157,0.000000,0.000038,0.003999,0.003991,0
158,0.000000,0.000034,0.003999,0.003991,0
159,0.000000,0.000039,0.003999,0.003991,0
160,0.000000,0.000037,0.003999,0.003991,0
161,0.000000,0.000037,0.003999,0.003991,0
162,0.000000,0.000040,0.003999,0.003991,0
163,0.000000,0.000019,0.004000,0.003992,0
164,0.000000,0.000035,0.003999,0.003991,0
165,0.000000,0.000017,0.004000,0.003992,0
166,0.000000,0.000019,0.004000,0.003992,0
167,0.000000,0.000036,0.003999,0.003991,0
168,0.000000,0.000037,0.003999,0.003991,0
169,0.000000,0.000017,0.004000,0.003992,0
170,0.000000,0.000018,0.004000,0.003992,0
171,0.000000,0.000019,0.004000,0.003992,0
172,0.000000,0.000018,0.004000,0.003992,0
173,0.000000,0.000039,0.003999,0.003991,0
174,0.000000,0.000036,0.003999,0.003991,0
175,0.000000,0.000018,0.004000,0.003992,0
176,0.000000,0.000039,0.003999,0.003991,0
177,0.000000,0.000019,0.004000,0.003992,0
178,0.000333,0.000034,0.003999,0.003991,0
179,0.000333,0.000018,0.004000,0.003992,0
180,0.000000,0.000019,0.004000,0.003992,0
181,0.000000,0.000018,0.004000,0.003992,0
182,0.000666,0.000017,0.004000,0.003992,0
183,0.000000,0.000019,0.004000,0.003992,0
184,0.000000,0.000017,0.004000,0.003992,0
185,0.000000,0.000018,0.004000,0.003992,0
186,0.000000,0.000018,0.004000,0.003992,0
187,0.000333,0.000018,0.004000,0.003992,0
188,0.000000,0.000017,0.004000,0.003992,0
189,0.000000,0.000054,0.003999,0.003991,0
190,0.000000,0.000055,0.003999,0.003991,0
191,0.000000,0.000037,0.003999,0.003991,0
192,0.000333,0.000037,0.003999,0.003991,0
193,0.000000,0.000039,0.003999,0.003991,0
194,0.000333,0.000038,0.003999,0.003991,0
195,0.000000,0.000036,0.003999,0.003991,0
196,0.000000,0.000035,0.003999,0.003991,0
197,0.000333,0.000037,0.003999,0.003991,0
198,0.000000,0.000019,0.004000,0.003992,0
199,0.000000,0.000019,0.004000,0.003992,0
200,0.000000,0.000019,0.004000,0.003992,0
201,0.000000,0.000018,0.004000,0.003992,0
202,0.000000,0.000018,0.004000,0.003992,0
203,0.000000,0.000019,0.004000,0.003992,0
204,0.000000,0.000018,0.004000,0.003992,0
205,0.000000,0.000018,0.004000,0.003992,0
206,0.000000,0.000035,0.003999,0.003991,0
