tick,mutation_count,dna_variance
353,109,0.104046
354,141,0.104124
355,142,0.104241
356,134,0.104293
357,162,0.104321
358,138,0.104378
359,161,0.104427
360,137,0.104373
361,109,0.104381
362,149,0.104412
363,120,0.104419
364,138,0.104528
365,149,0.104512
366,132,0.104591
367,128,0.104572
368,135,0.104579
369,116,0.104720
370,124,0.104819
371,123,0.104872
372,134,0.104940
373,137,0.104969
374,127,0.104953
375,135,0.104991
376,130,0.105102
377,130,0.105183
378,136,0.105331
379,127,0.105496
380,118,0.105575
381,149,0.105516
382,104,0.105536
383,128,0.105547
384,118,0.105624
385,132,0.105726
386,149,0.105744
387,118,0.105740
388,144,0.105810
389,131,0.105891
390,132,0.105981
391,141,0.106023
392,120,0.106091
393,121,0.106067
394,131,0.106038
395,127,0.106120
396,129,0.106171
397,121,0.106208
398,134,0.106223
399,116,0.106258
400,113,0.106330
401,145,0.106400
402,129,0.106477
403,136,0.106467
404,116,0.106563
405,109,0.106534
406,143,0.106584
407,116,0.106645
408,99,0.106695
409,104,0.106729
410,116,0.106716
411,102,0.106672
412,106,0.106776
413,109,0.106881
414,119,0.106976
415,101,0.106989
416,121,0.107068
417,145,0.107111
418,91,0.107122
419,128,0.107124
420,118,0.107088
421,123,0.107064
422,106,0.107091
423,113,0.107140
424,110,0.107167
425,113,0.107157
426,113,0.107254
427,102,0.107258
428,105,0.107254
429,93,0.107265
430,90,0.107262
431,112,0.107231
432,114,0.107204
433,96,0.107192
434,115,0.107259
435,97,0.107251
436,102,0.107264
437,83,0.107177
438,94,0.107179
439,86,0.107165
440,101,0.107182
441,102,0.107105
442,110,0.107121
443,114,0.107184
444,97,0.107200
445,98,0.107224
446,100,0.107309
447,76,0.107339
448,104,0.107338
449,81,0.107396
450,101,0.107435
451,84,0.107452
452,92,0.107422
453,126,0.107460
454,103,0.107515
455,77,0.107598
456,97,0.107465
457,69,0.107472
458,108,0.107493
459,109,0.107526
460,95,0.107520
461,78,0.107478
462,87,0.107452
463,94,0.107427
464,90,0.107487
465,70,0.107468
466,91,0.107472
467,88,0.107348
468,82,0.107418
469,72,0.107438
470,72,0.107436
471,55,0.107462
472,86,0.107522
473,81,0.107520
474,83,0.107494
475,89,0.107496
476,61,0.107561
477,86,0.107574
478,64,0.107655
479,84,0.107678
480,46,0.107689
481,68,0.107654
482,99,0.107616
483,85,0.107659
484,58,0.107617
485,59,0.107643
486,61,0.107696
487,104,0.107699
488,62,0.107723
489,80,0.107743
490,71,0.107753
491,66,0.107685
492,71,0.107656
493,66,0.107665
494,72,0.107601
495,74,0.107513
496,61,0.107527
497,58,0.107585
498,65,0.107632
499,69,0.107637
500,76,0.107606
501,55,0.107565
502,66,0.107559
503,52,0.107560
504,69,0.107592
505,76,0.107565
506,61,0.107527
507,80,0.107496
508,61,0.107484
509,82,0.107533
510,54,0.107514
511,67,0.107500
512,59,0.107525
513,62,0.107551
514,54,0.107540
515,84,0.107507
516,72,0.107550
517,80,0.107526
518,66,0.107481
519,46,0.107545
520,80,0.107533
521,52,0.107501
522,73,0.107471
523,51,0.107463
524,58,0.107503
525,47,0.107534
526,65,0.107459
527,55,0.107466
528,59,0.107495
529,77,0.107502
530,65,0.107433
531,51,0.107365
532,79,0.107310
533,76,0.107292
534,50,0.107278
535,79,0.107237
536,95,0.107245
537,50,0.107274
538,56,0.107272
539,78,0.107222
